"","trimestre","instrucao","setor","rendimento_medio_nominal"
"1","2019/4T","Sem instrução e menos de 1 ano de estudo","Agricultura, pecuária, produção florestal, pesca e aquicultura",629.9
"2","2019/4T","Fundamental incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1089.15
"3","2019/4T","Fundamental completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1458.76
"4","2019/4T","Médio incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1501.67
"5","2019/4T","Médio completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1807.72
"6","2019/4T","Superior incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",3268.33
"7","2019/4T","Superior completo","Agricultura, pecuária, produção florestal, pesca e aquicultura",6613.14
"8","2019/4T","Sem instrução e menos de 1 ano de estudo","Indústria geral",999.22
"9","2019/4T","Fundamental incompleto ou equivalente","Indústria geral",1325.03
"10","2019/4T","Fundamental completo ou equivalente","Indústria geral",1520.77
"11","2019/4T","Médio incompleto ou equivalente","Indústria geral",1426.15
"12","2019/4T","Médio completo ou equivalente","Indústria geral",1905.97
"13","2019/4T","Superior incompleto ou equivalente","Indústria geral",2718.54
"14","2019/4T","Superior completo","Indústria geral",6037.49
"15","2019/4T","Sem instrução e menos de 1 ano de estudo","Construção",1081.44
"16","2019/4T","Fundamental incompleto ou equivalente","Construção",1348.75
"17","2019/4T","Fundamental completo ou equivalente","Construção",1573.66
"18","2019/4T","Médio incompleto ou equivalente","Construção",1400.86
"19","2019/4T","Médio completo ou equivalente","Construção",1799.76
"20","2019/4T","Superior incompleto ou equivalente","Construção",2232.8
"21","2019/4T","Superior completo","Construção",6281.39
"22","2019/4T","Sem instrução e menos de 1 ano de estudo","Comércio, reparação de veículos automotores e motocicletas",968.32
"23","2019/4T","Fundamental incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1318.08
"24","2019/4T","Fundamental completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1536.51
"25","2019/4T","Médio incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1373.57
"26","2019/4T","Médio completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1759.63
"27","2019/4T","Superior incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",2113.84
"28","2019/4T","Superior completo","Comércio, reparação de veículos automotores e motocicletas",3773.73
"29","2019/4T","Sem instrução e menos de 1 ano de estudo","Transporte, armazenagem e correio ",1224.36
"30","2019/4T","Fundamental incompleto ou equivalente","Transporte, armazenagem e correio ",1759.73
"31","2019/4T","Fundamental completo ou equivalente","Transporte, armazenagem e correio ",1975.08
"32","2019/4T","Médio incompleto ou equivalente","Transporte, armazenagem e correio ",1857.03
"33","2019/4T","Médio completo ou equivalente","Transporte, armazenagem e correio ",2125.82
"34","2019/4T","Superior incompleto ou equivalente","Transporte, armazenagem e correio ",2504.62
